machine_id,machine_type,timestep,temperature,vibration,pressure,voltage,current,rpm,operating_hours,health_status
M-001,CNC Lathe,1,60.34,2.324,5.24,401.65,12.94,1457.5,944.1,Healthy
M-001,CNC Lathe,2,59.23,2.422,5.25,400.44,12.99,1460.6,952.6,Healthy
M-001,CNC Lathe,3,61.23,2.423,5.18,405.8,12.23,1469.9,961.1,Healthy
M-001,CNC Lathe,4,60.8,2.304,5.35,402.72,12.8,1451.6,969.6,Healthy
M-001,CNC Lathe,5,60.55,2.351,5.09,401.27,12.77,1461.5,978.1,Healthy
M-001,CNC Lathe,6,59.66,2.58,5.3,401.63,12.62,1470.4,986.6,Healthy
M-001,CNC Lathe,7,60.81,2.755,5.26,405.26,13.1,1461.6,995.1,Healthy
M-001,CNC Lathe,8,58.06,2.523,5.15,400.95,12.92,1458.7,1003.6,Healthy
M-001,CNC Lathe,9,57.99,2.34,5.33,403.33,13.18,1462.3,1012.1,Healthy
M-001,CNC Lathe,10,60.66,2.465,5.22,404.3,12.85,1454.8,1020.6,Healthy
M-001,CNC Lathe,11,61.32,2.584,5.07,403.25,12.22,1469.5,1029.1,Healthy
M-001,CNC Lathe,12,58.75,2.53,5.17,402.64,12.45,1458.7,1037.6,Healthy
M-001,CNC Lathe,13,59.8,2.551,5.41,403.13,13.04,1452.7,1046.1,Healthy
M-001,CNC Lathe,14,58.17,2.459,5.25,403.19,13.18,1463.8,1054.6,Healthy
M-001,CNC Lathe,15,58.11,2.543,5.22,400.06,12.79,1449.7,1063.1,Healthy
M-001,CNC Lathe,16,59.46,2.526,5.2,400.25,12.85,1464.6,1071.6,Healthy
M-001,CNC Lathe,17,58.25,2.314,5.24,399.47,13.62,1459.7,1080.1,Healthy
M-001,CNC Lathe,18,58.78,2.338,5.18,400.83,12.2,1471.0,1088.6,Healthy
M-001,CNC Lathe,19,59.85,2.433,5.31,399.86,12.67,1464.6,1097.1,Healthy
M-001,CNC Lathe,20,59.79,2.477,5.22,401.49,13.44,1469.4,1105.6,Healthy
M-001,CNC Lathe,21,56.87,2.614,5.45,404.44,12.86,1455.4,1114.1,Healthy
M-001,CNC Lathe,22,60.74,2.362,5.27,401.93,13.36,1457.8,1122.6,Healthy
M-001,CNC Lathe,23,59.34,2.481,5.43,402.14,12.79,1467.8,1131.1,Healthy
M-001,CNC Lathe,24,60.73,2.322,5.18,404.17,13.09,1441.2,1139.6,Healthy
M-001,CNC Lathe,25,60.45,2.547,5.15,403.33,13.59,1464.1,1148.1,Healthy
M-001,CNC Lathe,26,59.12,2.373,5.23,402.73,12.96,1464.9,1156.6,Healthy
M-001,CNC Lathe,27,59.69,2.458,5.33,399.84,12.97,1461.8,1165.1,Healthy
M-001,CNC Lathe,28,60.97,2.409,5.3,404.18,12.29,1470.3,1173.6,Healthy
